record_id,tsv_index,shuffled_rank,question,msc_code,domain,raw_response,model,latency_sec,timestamp
6984,6984,3,What is the difference between the highest and lowest MEM (Relative) values?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,4.278783583,2025-11-19T11:01:15.962399+00:00
3342,3342,2,What is the kinetic rate constant for T₄₀ activation into T₂A?,92,Biology and other natural sciences,"MSC code: 92
Domain: Biology and other natural sciences",gpt-5-mini,5.176902917,2025-11-19T11:01:16.858102+00:00
3696,3696,0,What is the sum of P · η [kW cm - $^{2}$] at 700 K for 100 nm for Bulk Si and Finite Si?,80,"Classical thermodynamics, heat transfer","MSC code: 80
Domain: Classical thermodynamics, heat transfer",gpt-5-mini,6.05289875,2025-11-19T11:01:17.310832+00:00
7792,7792,5,"If you multiply the weights of Feet velocity and Feet contact force, what do you get?",93,Systems theory; control,"MSC code: 93
Domain: Systems theory; control",gpt-5-mini,5.702287958,2025-11-19T11:01:17.388048+00:00
5186,5186,4,What is the absolute difference between the FID scores of the two methods?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,7.220927042,2025-11-19T11:01:18.906138+00:00
1010,1010,6,What is the average score for the 'Base model' across all datasets using 'BM25'?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,5.015386125,2025-11-19T11:01:20.978994+00:00
7333,7333,10,Which friction type has a higher maximum possible value?,70,Mechanics of particles and systems,"MSC code: 70
Domain: Mechanics of particles and systems",gpt-5-mini,4.739929167,2025-11-19T11:01:23.646210+00:00
1422,1422,7,What is the difference between SDR-D for K=90 and K=30?,94,"Information and communication, circuits","MSC code: 94
Domain: Information and communication, circuits",gpt-5-mini,7.331627792,2025-11-19T11:01:24.189859+00:00
2318,2318,11,What is the value of the x/y-axis rotational moment of inertia?,70,Mechanics of particles and systems,"MSC code: 70
Domain: Mechanics of particles and systems",gpt-5-mini,3.24412,2025-11-19T11:01:24.223275+00:00
1926,1926,9,What is the product of the Collider Size (z) (meters) for N1 and N4?,0,General and overarching topics; collections,"MSC code: 00
Domain: General and overarching topics; collections",gpt-5-mini,7.6793355,2025-11-19T11:01:25.067478+00:00
2044,2044,1,Which constant is associated with the value 6.00 × 10⁻¹⁰ mg/cm³?,85,Astronomy and astrophysics,"MSC code: 85
Domain: Astronomy and astrophysics",gpt-5-mini,14.52134346,2025-11-19T11:01:26.202129+00:00
6419,6419,12,By what percentage does RTMDet's mean Recall exceed its mean Precision?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,3.477367208,2025-11-19T11:01:27.123821+00:00
2128,2128,13,What is the difference between the SR ↓ values at L1 and L4 for ReAct?,68,Computer science,"MSC code: 68
Domain: Computer science",gpt-5-mini,3.531451792,2025-11-19T11:01:27.721397+00:00
1447,1447,15,"If the receiver aperture diameter (D$_{r}$) is converted to meters, what is the value?",78,"Optics, electromagnetic theory","MSC code: 78
Domain: Optics, electromagnetic theory",gpt-5-mini,4.340515625,2025-11-19T11:01:29.408102+00:00
161,161,14,Which model has the lowest 'SR(goal)' value in Detailed Tasks?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,5.972706792,2025-11-19T11:01:30.196073+00:00
5961,5961,18,"For UCI Group B, what is the difference between the highest and lowest Total R2 values for C2H4?",62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,2.787695083,2025-11-19T11:01:30.509235+00:00
1502,1502,8,"If you add N_0 and M_0, what is the result?",20,Group theory and generalizations,"MSC code: 20
Domain: Group theory and generalizations",gpt-5-mini,14.01713262,2025-11-19T11:01:31.328027+00:00
1951,1951,16,"If you subtract the value of 'Model Structure' from 'More Reconstruction Results', what do you get?",0,General and overarching topics; collections,"MSC code: 00
Domain: General and overarching topics; collections",gpt-5-mini,5.191524333,2025-11-19T11:01:31.393744+00:00
1394,1394,17,What is the ratio of the size of the self-diffusivity of N$_{2}$ at infinite dilution dataset to the Henry's constant of N$_{2}$ dataset?,92,Biology and other natural sciences,"MSC code: 92
Domain: Biology and other natural sciences",gpt-5-mini,5.119038625,2025-11-19T11:01:32.242980+00:00
514,514,19,What is the ratio of C$_{F}$ to K?,98,None of above,"MSC code: 98
Domain: None of above",gpt-5-mini,4.357567208,2025-11-19T11:01:33.765772+00:00
318,318,20,"At a noise scale of 0.05, which method has the smallest value?",62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,3.917436708,2025-11-19T11:01:34.113765+00:00
1478,1478,22,Which method has the highest MCC for Antibody Paratope Prediction?,92,Biology and other natural sciences,"MSC code: 92
Domain: Biology and other natural sciences",gpt-5-mini,4.247719042,2025-11-19T11:01:35.575841+00:00
3120,3120,24,What is the difference in Natural accuracy between the highest and lowest values for the Tiny-ImageNet dataset?,68,Computer science,"MSC code: 68
Domain: Computer science",gpt-5-mini,3.510690125,2025-11-19T11:01:35.753844+00:00
1952,1952,23,Which metric is closest in value to RQ for the Con2MAV approach?,68,Computer science,"MSC code: 68
Domain: Computer science",gpt-5-mini,5.516334,2025-11-19T11:01:36.910733+00:00
2704,2704,25,What is the average of τ LH1 S$_{1}$ for Lyc and dikSpx?,92,Biology and other natural sciences,"MSC code: 92
Domain: Biology and other natural sciences",gpt-5-mini,4.518855542,2025-11-19T11:01:38.284765+00:00
6893,6893,27,What is the difference between the highest and lowest 'Overall' scores?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,3.98686075,2025-11-19T11:01:39.562845+00:00
4216,4216,28,At which NFE does UViT (latent) have the largest difference from DCTdiff?,68,Computer science,"MSC code: 68
Domain: Computer science",gpt-5-mini,4.023222542,2025-11-19T11:01:39.777173+00:00
1166,1166,21,What is the first letter in the AlphaFold Protein Gauss Code for PDB ID 1uak?,92,Biology and other natural sciences,"MSC code: 92
Domain: Biology and other natural sciences",gpt-5-mini,9.388015625,2025-11-19T11:01:39.897392+00:00
1109,1109,29,What is the total score for 'Unsupervised Fine-Tuning' using 'BM25' across 'Amazon' and 'New Wiki'?,68,Computer science,"MSC code: 68
Domain: Computer science",gpt-5-mini,3.963820834,2025-11-19T11:01:40.874737+00:00
6418,6418,26,What percentage lower is SurgSora's CD-FVD score compared to Endora's?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,7.644829709,2025-11-19T11:01:41.758688+00:00
4516,4516,32,Which model's time is exactly 100 times faster than DeepCrash?,68,Computer science,"MSC code: 68
Domain: Computer science",gpt-5-mini,2.570444625,2025-11-19T11:01:42.348006+00:00
7332,7332,30,What is the difference between the MSE values for ST-ReP and iTransformer for the PEMS04 dataset?,68,Computer science,"MSC code: 68
Domain: Computer science",gpt-5-mini,6.005895167,2025-11-19T11:01:44.290835+00:00
1068,1068,35,How many entries have a P-value less than 1?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,2.675063833,2025-11-19T11:01:44.433826+00:00
4349,4349,31,Which experiment has the highest F$_{0}$ value?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,5.480088917,2025-11-19T11:01:45.043064+00:00
1631,1631,33,What is the displacement from p$_{1}$ to p$_{5}$?,51,Geometry,"MSC code: 51
Domain: Geometry",gpt-5-mini,5.560525958,2025-11-19T11:01:45.458056+00:00
3119,3119,36,Which data type has the smallest standard deviation in accuracy?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,3.192896833,2025-11-19T11:01:45.544422+00:00
337,337,34,What is the Lipschitz constant for the SE kernel?,26,Real functions,"MSC code: 26
Domain: Real functions",gpt-5-mini,4.875717375,2025-11-19T11:01:45.750580+00:00
6081,6081,37,What is the difference between the highest and lowest Emb. values for the Asphericity metric across all methods and datasets?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,3.514939125,2025-11-19T11:01:47.805874+00:00
6516,6516,40,What is the false positive rate (percentage of 'No' ground truths that were incorrectly predicted as 'Yes')?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,2.962981583,2025-11-19T11:01:48.421204+00:00
3821,3821,41,What is the average mean RMSE of q (ℓ/s) for Case (I) across columns (A) and (B)?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,4.02121125,2025-11-19T11:01:49.565808+00:00
261,261,38,What is the average of the values in the 'HC8' row for columns 18.4 and 0.7?,0,General and overarching topics; collections,"MSC code: 00
Domain: General and overarching topics; collections",gpt-5-mini,5.514911208,2025-11-19T11:01:49.948842+00:00
2176,2176,39,Which method has the lowest average F1 score across all categories?,68,Computer science,"MSC code: 68
Domain: Computer science",gpt-5-mini,5.427214041,2025-11-19T11:01:50.470446+00:00
2377,2377,43,For which data type combination is the F1 score closest to 0.9224 ± 0.011?,62,Statistics,"MSC code: 62
Domain: Statistics",gpt-5-mini,2.765986666,2025-11-19T11:01:50.571990+00:00
640,640,45,Which state variable is associated with activated NK cells?,92,Biology and other natural sciences,"MSC code: 92
Domain: Biology and other natural sciences",gpt-5-mini,3.005347584,2025-11-19T11:01:52.571299+00:00
681,681,42,What is the difference between T_8 and T_ex?,54,General topology,"MSC code: 54
Domain: General topology",gpt-5-mini,6.91343475,2025-11-19T11:01:52.664383+00:00
